airport20,+Inf,0.401106,0.035748,0.436854,7491,7457,16737,16737,1
airport18,+Inf,0.510284,0.042743,0.553027,8863,8833,20193,20193,1
airport11,+Inf,0.717325,0.058481,0.775806,12201,12149,28395,28395,1
airport16,1.207680,0.618926,0.170810,0.789736,10689,10647,24528,24528,1
airport0,+Inf,0.714221,0.059979,0.774200,12397,12355,29053,29053,1
airport33,+Inf,0.675151,0.066765,0.741916,12287,12239,28752,28752,0
airport14,+Inf,0.446857,0.050215,0.497072,10395,10365,24911,24911,1
airport24,+Inf,0.730556,0.064826,0.795382,13413,13365,31825,31825,1
airport39,+Inf,0.778957,0.072302,0.851259,14009,13967,33206,33206,0
airport17,0.894737,0.741435,0.193700,0.935135,11893,11843,27347,27347,1
airport3,0.631579,0.773811,0.342763,1.116574,13169,13115,30630,30630,0
airport35,+Inf,0.786441,0.064228,0.850669,14507,14455,34536,34536,0
airport1,2.359898,0.750814,0.250638,1.001452,11671,11623,26863,26863,1
airport37,1.157895,0.760181,0.189141,0.949322,11659,11609,26824,26824,0
airport36,+Inf,0.775433,0.065992,0.841425,13607,13551,31755,31755,0
airport44,1.105263,0.663483,0.155558,0.819041,9937,9893,22547,22547,0
airport10,+Inf,0.928922,0.065061,0.993983,13763,13705,32014,32014,1
airport47,+Inf,0.363320,0.034295,0.397615,6825,6801,15515,15515,0
airport45,+Inf,0.541563,0.044833,0.586396,9309,9269,21285,21285,0
airport4,+Inf,0.378639,0.034980,0.413619,6961,6927,15466,15466,0
airport2,1.210526,0.417834,0.112889,0.530723,7955,7931,18141,18141,1
airport12,+Inf,1.114674,0.080182,1.194856,16609,16547,39532,39532,1
airport28,+Inf,0.405608,0.035981,0.441589,6977,6957,15888,15888,1
airport29,+Inf,0.641352,0.069294,0.710646,13367,13321,31907,31907,1
airport48,+Inf,0.460219,0.061412,0.521631,11169,11139,27149,27149,0
airport49,+Inf,0.589528,0.051780,0.641308,9853,9813,22772,22772,0
airport30,+Inf,0.423640,0.041755,0.465395,7839,7815,17830,17830,1
airport52,+Inf,0.549614,0.061865,0.611479,9029,8989,20525,20525,0
airport55,+Inf,0.765152,0.067880,0.833032,10915,10869,24981,24981,0
airport32,0.656640,0.447786,0.143056,0.590842,8333,8299,18927,18927,1
airport51,1.526316,0.913042,0.253454,1.166496,12567,12517,29078,29078,0
airport53,+Inf,0.816097,0.065723,0.881820,13415,13365,31535,31535,0
airport56,+Inf,0.471262,0.037881,0.509143,7739,7711,17475,17475,0
airport31,+Inf,0.666648,0.060994,0.727642,11091,11045,25741,25741,1
airport50,2.092732,0.529879,0.155954,0.685833,8723,8689,20022,20022,0
airport54,+Inf,0.733816,0.057186,0.791002,11949,11899,27728,27728,0
airport40,+Inf,0.422112,0.038147,0.460259,7269,7241,16398,16398,1
airport34,+Inf,0.437084,0.051925,0.489009,9387,9361,22384,22384,1
