instance,resultFixed,elapsedTimeFixed,totalSolveTimeFixed,totalTimeFixed,nvarsFixed,snvarsFixed,nconsFixed,snconsFixed,reduceTini
airport78,+Inf,0.313316,0.032578,0.345894,40639,4239,15347,15347,0
airport76,8.012270,0.690896,0.836666,1.527562,88007,7027,26191,26191,0
airport5,2.294288,0.556796,0.290528,0.847324,68183,5921,21625,21625,2
airport60,+Inf,0.490085,0.054387,0.544472,58912,6279,23992,23992,2
airport72,1.315789,0.289617,0.118260,0.407877,37703,3963,13814,13814,1
airport62,+Inf,0.660889,0.056870,0.717759,87843,7447,28257,28257,2
airport7,+Inf,0.740420,0.070663,0.811083,82110,6815,25650,25650,0
airport80,+Inf,0.597764,0.051889,0.649653,62409,5502,19984,19984,0
airport6,+Inf,0.816099,0.067029,0.883128,102377,8781,35365,35365,1
airport64,1.243779,0.383390,0.192083,0.575473,45509,4921,18119,18119,2
airport63,1.884229,0.761542,0.382409,1.143951,84219,6454,23186,23186,2
airport67,+Inf,0.334762,0.046267,0.381029,41543,4125,14072,14072,2
airport71,+Inf,0.699527,0.058084,0.757611,85726,6802,24628,24628,1
airport79,1.000000,0.787978,0.529253,1.317231,97532,8850,35184,35184,0
airport66,+Inf,0.845750,0.061931,0.907681,103636,7258,26240,26240,2
airport81,0.842105,0.369000,0.170441,0.539441,47451,4735,16993,16993,0
airport68,+Inf,0.423465,0.034804,0.458269,55698,4702,16036,16036,2
airport65,1.180451,0.531082,0.237146,0.768228,65123,6205,22827,22827,2
airport84,+Inf,0.535456,0.075601,0.611057,65024,5994,22200,22200,0
airport82,+Inf,0.577280,0.059794,0.637074,72204,6396,23779,23779,0
airport75,+Inf,0.737099,0.047165,0.784264,92367,6542,23546,23546,1
airport70,+Inf,0.615900,0.066697,0.682597,80595,8315,33993,33993,1
airport74,0.988324,0.423693,0.138878,0.562571,53212,4910,17126,17126,1
airport78,+Inf,0.314480,0.037546,0.352026,40667,4267,15389,15389,1
airport77,+Inf,0.521986,0.049352,0.571338,65562,6393,25244,25244,1
airport73,1.902798,0.625114,0.276026,0.901140,76217,6147,21937,21937,1
airport86,+Inf,0.634349,0.060113,0.694462,78351,6822,26313,26313,0
airport72,1.000000,0.294339,0.138574,0.432913,37731,3991,13856,13856,2
airport76,7.696480,0.692236,0.955237,1.647473,88037,7057,26236,26236,1
airport85,+Inf,0.906577,0.071694,0.978271,116114,8380,30981,30981,0
airport87,+Inf,0.346140,0.060906,0.407046,40486,5412,21798,21798,0
airport71,+Inf,0.695351,0.058720,0.754071,85752,6828,24667,24667,2
airport6,+Inf,0.872196,0.068933,0.941129,102413,8817,35419,35419,2
airport83,1.559791,0.750018,0.669596,1.419614,89970,7029,25639,25639,0
airport91,+Inf,0.383200,0.052118,0.435318,47613,4745,17396,17396,0
airport88,+Inf,0.684989,0.085999,0.770988,84750,7117,26882,26882,0
airport75,+Inf,0.721508,0.066261,0.787769,92405,6580,23603,23603,2
airport80,+Inf,0.525174,0.053434,0.578608,62439,5532,20029,20029,1
airport8,2.992481,0.587328,0.252154,0.839482,75803,5954,21617,21617,0
airport70,+Inf,0.612299,0.078612,0.690911,80631,8351,34047,34047,2
airport74,1.490358,0.422799,0.150020,0.572819,53242,4940,17171,17171,2
airport73,1.929547,0.626835,0.314152,0.940987,76251,6181,21988,21988,2
airport81,1.000000,0.373539,0.177724,0.551263,47471,4755,17023,17023,1
airport77,+Inf,0.515857,0.073981,0.589838,65596,6427,25295,25295,2
airport79,0.684211,0.732102,0.540653,1.272755,97562,8880,35229,35229,1
airport92,+Inf,0.474036,0.042396,0.516432,56783,4943,17467,17467,0
airport78,+Inf,0.315262,0.038365,0.353627,40697,4297,15434,15434,2
