instance,resultFixed,elapsedTimeFixed,totalSolveTimeFixed,totalTimeFixed,nvarsFixed,snvarsFixed,nconsFixed,snconsFixed
metroplex51nDr0nDe1,4.355890,1.738558,0.247625,1.986183,222691,5804,18428,18428
grid71nDr0nDe1,3.265664,3.344815,1.001434,4.346249,430934,14722,30637,30637
metroplex4nDr0nDe3,12.561404,3.940744,1.493571,5.434315,493598,11455,41151,41151
grid71nDr1nDe0,1.578947,3.211766,0.441991,3.653757,410094,14078,29351,29351
grid71nDr0nDe2,3.724311,3.465667,0.884665,4.350332,430680,14482,30277,30277
metroplex51nDr1nDe0,2.473684,0.909550,0.089398,0.998948,118211,3481,9796,9796
grid72nDr0nDe2,8.463659,2.044981,0.749493,2.794474,260828,9786,19583,19583
grid70nDr0nDe3,6.438596,2.863574,0.728894,3.592468,362508,12788,26242,26242
grid72nDr1nDe1,3.709273,1.787699,0.211342,1.999041,230700,8878,17633,17633
metroplex49nDr0nDe3,9.182957,3.916929,2.397097,6.314026,505159,11907,44063,44063
grid71nDr1nDe1,4.390977,2.595363,0.449097,3.044460,333406,12558,25833,25833
metroplex51nDr1nDe1,4.303258,0.909810,0.137101,1.046911,118217,3485,9802,9802
metroplex51nDr0nDe2,15.411028,1.177332,0.718333,1.895665,147364,4147,12297,12297
grid72nDr0nDe3,2.756892,2.130156,0.386220,2.516376,276660,10096,20260,20260
metroplex46nDr0nDe3,20.686717,3.279515,11.230802,14.510317,419476,9710,33965,33965
metroplex52nDr1nDe0,1.842105,0.310748,0.025140,0.335888,39164,1559,3723,3723
metroplex50nDr0nDe3,7.385965,3.117023,1.075685,4.192708,397453,9362,32534,32534
metroplex51nDr0nDe3,15.769424,0.911721,0.225909,1.137630,118229,3493,9816,9816
metroplex52nDr0nDe1,3.233083,1.607327,0.166681,1.774008,208504,5278,16391,16391
metroplex52nDr1nDe1,3.626566,0.509311,0.052462,0.561773,65051,2117,5329,5329
grid73nDr0nDe1,1.661654,3.471580,1.019216,4.490796,430215,14589,30076,30076
metroplex53nDr0nDe3,6.330827,0.313589,0.039320,0.352909,39626,1645,3956,3956
grid73nDr1nDe0,1.473684,3.252636,0.468798,3.721434,409514,14111,29081,29081
grid73nDr1nDe1,10.451128,3.070909,0.560177,3.631086,389501,13645,28059,28059
grid73nDr0nDe2,1.416040,3.381555,0.533503,3.915058,430333,14693,30232,30232
grid74nDr1nDe0,0.631579,3.383677,0.704727,4.088404,429269,14759,30754,30754
grid74nDr0nDe3,6.701754,3.014450,0.687660,3.702110,370459,13197,27221,27221
grid74nDr0nDe1,3.506266,3.399369,0.666087,4.065456,429275,14763,30762,30762
grid74nDr1nDe1,3.085213,1.974466,0.309062,2.283528,252716,9384,18841,18841
grid71nDr0nDe3,10.408521,3.361930,1.751869,5.113799,430946,14730,30649,30649
grid74nDr0nDe2,5.711779,3.205118,1.382297,4.587415,398738,14119,29225,29225
grid75nDr0nDe1,2.859649,1.153763,0.190057,1.343820,144154,6687,12776,12776
grid75nDr1nDe1,3.561404,0.684596,0.080237,0.764833,87732,4235,7735,7735
grid76nDr0nDe2,8.849624,0.516048,0.051271,0.567319,66652,2999,5290,5290
metroplex53nDr1nDe0,0.157895,4.476601,1.213917,5.690518,567041,12506,44687,44687
grid75nDr1nDe0,2.578947,1.186564,0.161341,1.347905,138304,6302,11997,11997
grid76nDr0nDe3,11.513784,0.839546,0.069516,0.909062,83556,3612,6524,6524
grid77nDr0nDe1,2.676692,0.526734,0.055004,0.581738,66526,3457,6137,6137
grid76nDr1nDe0,0.789474,1.059046,0.106714,1.165760,132768,5822,11017,11017
metroplex53nDr1nDe1,11.902256,3.703338,1.102426,4.805764,473269,10557,37759,37759
grid77nDr1nDe0,1.736842,0.293158,0.047980,0.341138,35332,2358,3940,3940
grid76nDr1nDe1,2.398496,0.988746,0.099324,1.088070,112081,4973,9293,9293
grid77nDr0nDe3,9.167920,0.383785,0.048609,0.432394,48164,2763,4744,4744
grid75nDr0nDe2,9.350877,1.870846,0.436492,2.307338,237069,9592,19157,19157
grid76nDr0nDe1,2.869674,1.869346,0.311982,2.181328,237419,8670,17240,17240
grid73nDr0nDe3,2.300752,3.385954,1.071509,4.457463,430395,14745,30310,30310
metroplex53nDr0nDe1,5.310777,4.468552,3.022293,7.490845,567091,12546,44749,44749
grid77nDr1nDe1,5.120301,0.473799,0.043821,0.517620,58946,3179,5606,5606
metroplex52nDr0nDe3,12.566416,1.786386,0.475137,2.261523,201244,5157,16015,16015
grid78nDr1nDe1,5.558897,0.698467,0.087829,0.786296,88068,4134,7566,7566
metroplex53nDr0nDe2,9.726817,4.532557,2.482257,7.014814,566847,12326,44419,44419
metroplex54nDr0nDe1,1.248120,4.717346,2.624641,7.341987,590579,12940,46595,46595
grid77nDr0nDe2,5.791980,2.119043,0.291342,2.410385,261132,9444,18965,18965
metroplex54nDr0nDe2,4.000000,4.799533,1.531788,6.331321,590525,12890,46520,46520
grid78nDr1nDe0,0.578947,2.949897,0.472609,3.422506,365486,13430,27732,27732
grid75nDr0nDe3,17.626566,2.532463,1.552841,4.085304,308378,11653,23716,23716
grid79nDr1nDe0,2.473684,2.064874,0.323607,2.388481,257840,10319,20581,20581
grid79nDr0nDe1,3.238095,2.549187,0.288312,2.837499,323658,12021,24463,24463
metroplex54nDr1nDe1,4.260652,3.283650,0.630659,3.914309,418266,9693,34495,34495
grid78nDr0nDe1,4.972431,2.861994,2.296299,5.158293,365664,13584,27965,27965
grid7nDr1nDe0,2.315789,0.147429,0.015240,0.162669,18009,1279,1976,1976
grid7nDr0nDe3,5.877193,0.597590,0.044396,0.641986,74151,3470,6167,6167
metroplex54nDr1nDe0,3.157895,4.655892,1.482229,6.138121,565502,12179,44568,44568
grid7nDr0nDe1,8.157895,1.059152,0.264838,1.323990,132683,5651,10606,10606
grid7nDr0nDe2,10.644110,0.889387,0.122078,1.011465,111312,4974,9175,9175
metroplex52nDr0nDe2,12.614035,1.999715,1.804377,3.804092,238842,5968,18655,18655
