"nNodes","nFlights","datFile","opt","totalTime","optTime","iterations","optimalIteration"
5,15,airport15,instance,598,2167.434545,160.726117,27
5,15,airport0,instance,566,2167.582985,965.090405,27
5,15,airport14,instance,534,2407.838401,1445.688977,30
5,15,airport7,instance,595,2805.924900,962.289322,35
6,20,grid0,instance,484,34.483913,32.370745,1
6,20,grid6,instance,563,34.748878,32.628374,1
6,20,grid3,instance,526,36.501403,34.387743,1
6,20,grid11,instance,542,36.788596,33.660960,1
6,20,grid16,instance,488,36.748845,34.666229,1
6,20,grid8,instance,549,37.473278,35.423457,1
6,20,grid2,instance,412,37.943265,35.596485,1
6,20,grid18,instance,473,39.426484,37.404344,1
6,20,grid4,instance,502,41.065722,39.020796,1
6,20,grid9,instance,513,43.596323,41.584085,1
6,20,grid15,instance,464,43.997525,42.029528,1
6,20,grid13,instance,452,47.671080,45.751264,1
6,20,grid10,instance,554,51.624484,49.733486,1
6,20,grid14,instance,514,67.537108,65.257007,1
6,20,grid17,instance,548,70.474622,68.287718,1
6,20,grid7,instance,544,74.205230,72.016849,1
6,20,grid1,instance,547,75.994904,73.754201,1
5,15,airport1,instance,450,3127.276977,161.269515,39
6,20,metroplex0,instance,746,125.024115,120.398153,1
6,20,metroplex5,instance,859,125.251085,120.534435,1
6,20,metroplex11,instance,1012,125.429614,120.729220,1
6,20,metroplex18,instance,683,125.786780,121.100345,1
6,20,metroplex2,instance,608,125.912511,121.233405,1
6,20,metroplex9,instance,829,126.175763,121.487752,1
6,20,metroplex14,instance,813,126.322547,121.649119,1
6,20,metroplex13,instance,703,126.308754,121.468914,1
6,20,metroplex3,instance,897,126.585663,121.863548,1
6,20,metroplex4,instance,662,126.674105,121.955795,1
6,20,metroplex6,instance,848,126.974377,122.262618,1
6,20,metroplex12,instance,913,127.604250,122.808470,1
6,20,metroplex15,instance,712,127.633976,122.928143,1
6,20,metroplex10,instance,1019,128.263379,123.575009,1
6,20,metroplex16,instance,737,129.427518,124.707262,1
6,20,metroplex17,instance,874,129.584766,124.985219,1
6,20,metroplex19,instance,853,130.189808,125.479897,1
6,20,metroplex1,instance,783,130.181450,125.551603,1
6,20,metroplex7,instance,1008,139.581607,134.865011,1
6,20,metroplex8,instance,1044,170.329245,166.097495,1
6,20,grid5,instance,585,314.326972,88.703176,4
6,20,grid19,instance,555,509.675495,88.286131,6
6,20,grid12,instance,665,551.949896,88.682187,7
6,20,airport15,instance,1037,3636.199340,539.464500,27
6,20,airport2,instance,927,3648.726485,402.292586,27
6,20,airport8,instance,1161,3784.250429,1882.361611,28
6,20,airport11,instance,963,3792.253303,1485.479555,28
6,20,airport7,instance,1187,3903.599633,2018.729317,29
6,20,airport5,instance,1139,3908.849466,671.526932,29
6,20,airport14,instance,865,3913.252523,133.391019,29
6,20,airport13,instance,832,4059.561996,2556.892256,30
6,20,airport18,instance,1017,4164.013027,270.221516,31
6,20,airport0,instance,812,4300.951030,135.478060,32
6,20,airport17,instance,1158,4316.464940,532.072624,32
6,20,airport6,instance,1290,4454.239476,1067.922623,33
6,20,airport1,instance,1048,4570.937885,270.207272,34
6,20,airport12,instance,1065,4851.394520,1084.575805,36
6,20,airport19,instance,1193,4864.864916,2153.937371,36
6,20,airport9,instance,1089,4874.031714,2298.735414,36
6,20,airport4,instance,987,4982.568706,268.744408,37
6,20,airport16,instance,1130,5009.823177,1758.203737,37
6,20,airport10,instance,925,5010.711157,818.172622,37
6,20,airport3,instance,882,5113.084075,939.543437,38
