instance,result,elapsedTime,totalSolveTime,totalTime,nvars,snvars,ncons,sncons,reduceTini
airport56,+Inf,0.817190,0.079316,0.896506,8798,8739,26379,26379,1
airport74,1.210526,0.873929,0.287503,1.161432,7843,7811,22502,22502,0
airport75,+Inf,1.130846,0.094217,1.225063,12811,12544,39367,39367,0
airport54,+Inf,1.186058,0.193644,1.379702,14713,14447,46188,46188,1
airport61,+Inf,0.934226,0.106020,1.040246,9529,9497,28156,28156,1
airport70,+Inf,1.079929,0.868512,1.948441,24410,21178,63452,63452,0
airport58,+Inf,0.928976,0.168884,1.097860,9143,8921,27040,27040,1
airport48,+Inf,0.866428,0.482474,1.348902,13978,13432,43140,43140,2
airport57,1.894737,1.059226,0.414587,1.473813,9647,9615,28236,28236,1
airport62,+Inf,1.039755,0.673849,1.713604,23598,20375,59337,59337,1
airport59,2.466627,0.665722,0.618166,1.283888,7366,7313,21634,21634,1
airport52,+Inf,0.637228,0.329886,0.967114,11109,10864,33704,33704,2
airport77,+Inf,0.815591,0.097584,0.913175,12066,12002,38468,38468,0
airport73,1.771652,1.248557,1.078123,2.326680,11096,11019,34057,34057,0
airport60,+Inf,0.571349,0.147329,0.718678,11564,11506,36645,36645,1
airport5,2.241657,1.140913,0.836701,1.977614,9775,9737,28636,28636,1
airport51,1.263158,1.256241,0.749252,2.005493,12635,12585,37082,37082,2
airport50,1.882206,0.788514,0.380124,1.168638,9941,9876,30303,30303,2
airport63,1.778966,1.308028,0.567422,1.875450,10701,10651,30757,30757,1
airport76,8.012270,0.757687,1.727756,2.485443,13545,13286,41961,41961,0
airport53,+Inf,1.450359,0.174973,1.625332,13479,13429,40441,40441,2
airport67,+Inf,0.375478,0.136177,0.511655,8485,8269,24766,24766,1
airport64,1.506937,0.692338,0.495388,1.187726,9485,9260,28265,28265,1
airport66,+Inf,1.177015,0.090653,1.267668,11975,11929,34797,34797,1
airport82,+Inf,0.684155,0.122238,0.806393,12613,12364,39110,39110,0
airport80,+Inf,0.981060,0.367152,1.348212,14197,13170,40403,40403,0
airport81,0.842105,0.760362,0.410038,1.170400,7775,7741,22479,22479,0
airport56,+Inf,0.907657,0.061232,0.968889,8834,8775,26433,26433,2
airport55,+Inf,1.464629,0.094321,1.558950,10979,10933,31561,31561,2
airport54,+Inf,1.412679,0.170751,1.583430,14739,14473,46223,46223,2
airport79,1.000000,0.985376,0.670732,1.656108,15163,15111,46848,46848,0
airport68,+Inf,0.591009,0.323007,0.914016,13321,12325,36734,36734,1
airport84,+Inf,0.701016,0.136131,0.837147,10992,10926,34097,34097,0
airport65,1.022556,0.924314,0.309790,1.234104,10109,10079,30081,30081,1
airport7,+Inf,1.314147,1.050165,2.364312,15920,15334,49436,49436,0
airport85,+Inf,1.041289,0.293950,1.335239,18459,17844,57756,57756,0
airport58,+Inf,0.942160,0.113996,1.056156,9171,8949,27080,27080,2
airport61,+Inf,0.867190,0.132194,0.999384,9563,9531,28207,28207,2
airport5,2.294288,0.994067,0.521214,1.515281,9805,9767,28681,28681,2
airport57,1.842105,1.255088,0.289510,1.544598,9685,9653,28293,28293,2
airport59,2.519259,0.775178,0.376178,1.151356,7396,7343,21677,21677,2
airport86,+Inf,1.010415,0.386715,1.397130,13119,12854,40907,40907,0
airport78,+Inf,0.369641,0.072260,0.441901,9101,8888,27338,27338,0
airport63,1.884229,1.284319,0.495454,1.779773,10727,10677,30796,30796,2
airport62,+Inf,1.245382,0.657955,1.903337,23630,20407,59379,59379,2
airport72,1.315789,0.358333,0.265681,0.624014,6353,6331,18158,18158,1
airport87,+Inf,0.677936,0.124100,0.802036,9161,9141,28868,28868,0
airport60,+Inf,1.016386,0.083588,1.099974,11602,11544,36702,36702,2
airport66,+Inf,1.033745,0.089447,1.123192,12013,11967,34854,34854,2
airport88,+Inf,1.251284,0.745578,1.996862,16817,15762,50014,50014,0
airport64,1.243779,0.728687,0.378894,1.107581,9513,9288,28307,28307,2
airport6,+Inf,1.122331,0.120332,1.242663,16498,16409,53187,53187,1
airport75,+Inf,0.980184,0.177535,1.157719,12845,12578,39414,39414,1
