instance,resultFixed,elapsedTimeFixed,totalSolveTimeFixed,totalTimeFixed,nvarsFixed,snvarsFixed,nconsFixed,snconsFixed,reduceTini
grid20,2.020050,8.018512,11.348156,19.366668,24606,24444,93291,93291,0
grid11,2.157895,6.708656,4.131518,10.840174,23902,23782,91289,91289,0
grid35,1003.235589,6.538206,4.907255,11.445461,22766,22638,86338,86338,0
grid51,0.669173,7.424052,8.030509,15.454561,23550,23402,89981,89981,0
grid37,3.270677,7.491409,7.078180,14.569589,23948,23808,90988,90988,0
grid17,1004.037594,5.880089,12.197748,18.077837,27202,27062,105691,105691,0
grid3,3003.253133,6.305429,5.807081,12.112510,21220,21104,80397,80397,0
grid22,3001.250627,6.065648,9.330663,15.396311,25690,25530,95643,95643,0
grid26,1008.383459,7.624434,9.195466,16.819900,25468,25352,99542,99542,0
grid52,1.263158,9.147152,4.612956,13.760108,22838,22716,86711,86711,0
grid36,2002.000000,7.304302,4.459945,11.764247,23362,23234,88495,88495,0
grid30,1002.631579,7.261678,5.915334,13.177012,23768,23642,90308,90308,0
grid13,2.872180,7.944564,10.511149,18.455713,24902,24740,94826,94826,0
grid32,5.177945,7.613317,11.717752,19.331069,23792,23660,90166,90166,0
grid47,5002.543860,8.435611,10.227843,18.663454,24496,24374,94570,94570,0
grid54,1002.957393,7.092223,6.123344,13.215567,22380,22262,85390,85390,0
grid48,1.736842,7.837068,29.895545,37.732613,26344,26204,101337,101337,0
grid24,2.699248,8.227822,9.800165,18.027987,25058,24936,97315,97315,0
grid39,9.456140,9.147311,14.923824,24.071135,24042,23908,91436,91436,0
grid53,1005.659148,9.321549,9.889831,19.211380,26198,26072,100685,100685,0
grid41,1008.208020,7.009203,8.945668,15.954871,25262,25136,97538,97538,0
grid46,1.157895,9.829747,8.165740,17.995487,24224,24088,92114,92114,0
grid67,2003.052632,7.219955,7.529369,14.749324,22966,22846,87231,87231,0
grid56,3002.263158,7.668867,7.922966,15.591833,21584,21464,81450,81450,0
grid59,8001.052632,8.661203,9.957556,18.618759,25724,25590,99111,99111,0
grid5,1001.000000,12.874447,9.078065,21.952512,22764,22634,85644,85644,0
grid29,1007.110276,8.385944,20.127240,28.513184,25002,24832,95349,95349,0
grid64,0.052632,12.232299,12.366405,24.598704,24884,24724,93927,93927,0
grid6,7001.842105,9.662985,5.073787,14.736772,22608,22484,85640,85640,0
grid55,1.097744,13.102916,14.376797,27.479713,24300,24138,91204,91204,0
grid50,1.330827,11.348525,8.622460,19.970985,26618,26448,101532,101532,0
grid19,3008.558897,7.721152,8.998844,16.719996,24284,24150,92979,92979,0
grid71,1.000000,10.092952,6.138139,16.231091,24798,24662,94968,94968,0
grid63,4007.047619,11.824333,14.231347,26.055680,25034,24916,96121,96121,0
grid62,4001.907268,12.082315,5.904890,17.987205,24858,24726,94935,94935,0
grid45,1004.518797,9.942511,10.202383,20.144894,27164,27028,105823,105823,0
grid72,4003.020050,11.526099,9.846904,21.373003,25380,25242,96488,96488,0
grid73,2.263158,8.490221,10.593362,19.083583,24956,24794,94782,94782,0
grid69,1.413534,10.113178,6.369877,16.483055,25638,25508,98810,98810,0
grid57,1000.000000,11.572076,10.594273,22.166349,25782,25626,97823,97823,0
grid78,1.959900,6.852378,7.078012,13.930390,22994,22864,87724,87724,0
grid2,3.388471,14.671029,27.838380,42.509409,26352,26184,101358,101358,0
grid81,1.052632,11.474900,4.348192,15.823092,26498,26360,102206,102206,0
grid34,1007.340852,12.388732,11.974433,24.363165,27218,27066,104541,104541,0
grid65,0.789474,9.613685,12.764974,22.378659,26224,26076,100716,100716,0
grid82,0.759398,11.577756,5.678780,17.256536,24504,24364,93270,93270,0
grid76,9001.473684,11.000368,7.728383,18.728751,23800,23654,90267,90267,0
grid61,4.027569,12.539772,10.504956,23.044728,25086,24944,95493,95493,0
grid70,7.057644,14.987419,17.209709,32.197128,24924,24794,95525,95525,0
grid74,1000.578947,7.568146,10.956449,18.524595,26200,26058,99965,99965,0
grid58,1005.388471,11.774274,9.147375,20.921649,24892,24738,93935,93935,0
grid68,1.208020,8.432586,9.654631,18.087217,24180,24028,91636,91636,0
grid85,6.165414,12.064346,10.482018,22.546364,23178,23060,88373,88373,0
grid84,1002.022556,7.609342,7.262948,14.872290,24604,24462,93676,93676,0
grid8,0.157895,9.085431,9.632148,18.717579,24026,23878,90813,90813,0
grid60,1.263158,20.677100,13.003282,33.680382,27042,26880,103590,103590,0
grid88,1.090226,13.660085,5.625862,19.285947,24636,24496,94047,94047,0
grid75,8001.568922,10.879817,8.609160,19.488977,26502,26362,102475,102475,0
grid87,4.275689,7.915488,12.102159,20.017647,24156,24026,92182,92182,0
grid80,1.609023,13.177127,5.593959,18.771086,24340,24216,94201,94201,0
grid90,2004.165414,10.471215,9.801850,20.273065,23952,23818,90462,90462,0
grid95,3001.526316,8.295068,3.497001,11.792069,22184,22054,83078,83078,0
grid86,1010.834586,9.623694,16.309614,25.933308,25254,25116,95967,95967,0
grid91,3.884712,9.995393,7.566443,17.561836,25498,25366,97901,97901,0
grid44,1009.929825,8.187913,12.451318,20.639231,25326,25190,96403,96403,0
grid77,5005.473684,14.788985,10.412347,25.201332,28056,27920,109258,109258,0
grid96,2.862155,13.569878,12.731787,26.301665,23662,23528,90180,90180,0
metroplex0,2.052632,12.149878,3.871215,16.021093,17538,17408,64802,64802,0
grid92,1006.842105,10.691660,12.680585,23.372245,23704,23578,90186,90186,0
grid89,6.992481,7.010889,21.190318,28.201207,24000,23866,91288,91288,0
grid99,1001.363409,10.186271,7.148060,17.334331,23968,23838,91519,91519,0
grid79,2.368421,9.773055,14.438157,24.211212,25148,25008,95414,95414,0
grid97,1003.771930,10.245042,9.851018,20.096060,21660,21540,81740,81740,0
grid9,1.120301,10.387142,11.351445,21.738587,25248,25084,96052,96052,0
metroplex25,2.578947,14.468007,3.443572,17.911579,16614,16498,60946,60946,0
grid7,1004.107769,12.623259,17.646621,30.269880,26546,26402,101734,101734,0
grid98,4006.260652,8.894491,8.927313,17.821804,23116,23002,88123,88123,0
metroplex35,2.000000,12.862485,6.501179,19.363664,17236,17110,62992,62992,0
grid66,8002.343358,16.014335,11.074490,27.088825,25582,25442,97104,97104,0
metroplex12,1.684211,26.130045,8.537240,34.667285,21516,21356,80229,80229,0
metroplex14,1002.791980,14.469339,6.479007,20.948346,18092,17966,67439,67439,0
metroplex23,3.365915,17.757786,8.911977,26.669763,19008,18868,70474,70474,0
metroplex13,2.263158,17.621149,5.343745,22.964894,16980,16846,61924,61924,0
metroplex19,1009.513784,15.588371,8.433478,24.021849,17296,17166,64554,64554,0
metroplex27,2003.390977,11.557252,5.881714,17.438966,18838,18712,70656,70656,0
metroplex34,0.894737,15.436773,7.141810,22.578583,18930,18784,71002,71002,0
grid94,1004.248120,11.164351,9.277406,20.441757,23686,23562,89984,89984,0
metroplex15,1002.476190,15.188584,6.326693,21.515277,19548,19394,71679,71679,0
metroplex36,2004.779449,8.234879,7.864688,16.099567,20180,20034,75382,75382,0
metroplex10,7.696742,11.400271,13.897760,25.298031,19152,18998,72257,72257,0
metroplex2,4.944862,12.277266,9.937362,22.214628,18744,18600,68495,68495,0
metroplex30,5005.330827,13.007111,8.804736,21.811847,21694,21554,84073,84073,0
metroplex38,4008.871884,11.816005,7.980412,19.796417,19964,19818,74804,74804,0
metroplex20,2.553885,9.901536,11.882333,21.783869,19838,19672,73511,73511,0
metroplex31,2004.593985,7.531051,7.915684,15.446735,18178,18040,68079,68079,0
metroplex40,1001.000000,14.467084,5.775491,20.242575,17864,17728,65817,65817,0
metroplex48,3.315789,9.357026,4.427684,13.784710,18760,18640,71847,71847,0
grid83,2.080201,9.007635,22.862818,31.870453,25106,24946,95916,95916,0
grid93,1001.503759,11.936389,16.479228,28.415617,26516,26358,101080,101080,0
metroplex16,1003.609023,12.833157,5.363915,18.197072,18732,18596,69800,69800,0
metroplex39,1003.403509,11.955439,8.717776,20.673215,20684,20556,79070,79070,0
metroplex37,1.000000,17.023579,5.023163,22.046742,22030,21872,82657,82657,0
metroplex28,1000.588972,20.988257,29.749809,50.738066,22086,21916,82559,82559,0
metroplex26,1007.025063,9.384650,6.832998,16.217648,18830,18706,69973,69973,0
metroplex29,1003.080201,14.187114,17.232443,31.419557,20696,20528,75991,75991,0
metroplex49,0.315789,13.731603,15.792115,29.523718,20098,19944,75509,75509,0
metroplex18,11.784461,10.363700,24.332010,34.695710,19326,19176,72473,72473,0
metroplex24,5.578947,13.767698,14.986889,28.754587,20816,20680,77436,77436,0
metroplex11,3009.984962,13.768057,17.131543,30.899600,19830,19688,74681,74681,0
metroplex47,13.496241,12.507047,14.912013,27.419060,21720,21570,83594,83594,0
metroplex17,5004.568922,12.663504,14.502850,27.166354,21314,21178,82661,82661,0
metroplex50,1004.165388,21.740090,13.140735,34.880825,21698,21524,79930,79930,0
metroplex52,2014.664160,13.268909,12.201467,25.470376,17874,17738,65955,65955,0
metroplex32,1004.190476,13.336203,5.318079,18.654282,17402,17270,64899,64899,0
metroplex44,3007.429893,8.602425,6.388004,14.990429,16332,16194,59851,59851,0
metroplex45,1002.784461,14.520991,10.609192,25.130183,19398,19252,71757,71757,0
metroplex43,3.052632,8.819006,6.896481,15.715487,17188,17056,63669,63669,0
metroplex3,1.686717,18.986735,5.966856,24.953591,20968,20816,77353,77353,0
metroplex5,2005.576441,10.194679,4.748350,14.943029,19742,19600,74050,74050,0
metroplex4,1003.887218,14.462676,8.836030,23.298706,21124,20972,79196,79196,0
metroplex56,3005.087719,9.881069,6.340908,16.221977,18842,18690,68765,68765,0
metroplex60,1.210526,12.477330,9.817624,22.294954,19600,19436,72767,72767,0
metroplex42,1002.150376,16.365910,7.876939,24.242849,19626,19460,71310,71310,0
metroplex57,0.684211,12.947799,6.049178,18.996977,20764,20608,77396,77396,0
metroplex6,2.105263,11.747689,2.679823,14.427512,18314,18188,68777,68777,0
metroplex51,3.493734,11.097529,13.015427,24.112956,19376,19220,71308,71308,0
metroplex41,0.368421,20.767918,10.116692,30.884610,21844,21678,82098,82098,0
metroplex59,8009.907268,11.048971,17.533766,28.582737,18084,17944,66919,66919,0
metroplex61,6.962406,14.307430,12.933442,27.240872,20140,19982,76080,76080,0
metroplex64,1.421053,16.246584,6.038588,22.285172,19288,19130,71774,71774,0
metroplex67,4008.887218,10.638085,7.367094,18.005179,18452,18312,69065,69065,0
metroplex63,5004.213033,15.860565,7.408096,23.268661,19734,19586,73738,73738,0
metroplex53,0.631579,20.233150,8.425610,28.658760,20972,20808,77236,77236,0
metroplex68,4.739348,11.040764,8.036197,19.076961,19304,19148,72094,72094,0
metroplex69,4004.453634,11.219545,7.815779,19.035324,19956,19810,75072,75072,0
metroplex70,1.947368,8.763196,5.512586,14.275782,18078,17946,66539,66539,0
metroplex71,1.578947,10.886906,2.723018,13.609924,18584,18442,70374,70374,0
metroplex78,2.631579,9.465760,5.640473,15.106233,16718,16590,61602,61602,0
