instance,resultFixed,elapsedTimeFixed,totalSolveTimeFixed,totalTimeFixed,nvarsFixed,snvarsFixed,nconsFixed,snconsFixed,reduceTini
grid81,+Inf,5.164659,0.857247,6.021906,17881,17797,67855,67855,0
grid57,3.634085,8.859178,4.113099,12.972277,16521,16443,61852,61852,0
grid74,+Inf,4.034578,0.253662,4.288240,14053,13989,51618,51618,0
grid34,+Inf,8.376738,0.463739,8.840477,15755,15681,58394,58394,0
grid76,+Inf,5.679986,0.729311,6.409297,19175,19081,72561,72561,0
grid70,+Inf,8.098404,0.447806,8.546210,20637,20543,78534,78534,0
grid58,+Inf,6.691008,0.649902,7.340910,21715,21611,82677,82677,0
grid61,+Inf,10.901838,0.682647,11.584485,23713,23589,90728,90728,0
grid82,+Inf,12.540905,0.849208,13.390113,20581,20485,78523,78523,0
grid68,2.270291,6.600587,1.168499,7.769086,13407,13343,49609,49609,0
grid8,+Inf,4.231352,0.428289,4.659641,16667,16583,62576,62576,0
grid84,+Inf,4.113614,0.765349,4.878963,16937,16861,64240,64240,0
grid88,+Inf,5.015056,0.403204,5.418260,19229,19133,72861,72861,0
grid85,+Inf,9.713525,0.662529,10.376054,22809,22685,86439,86439,0
grid60,+Inf,6.550991,0.662780,7.213771,16311,16231,60867,60867,0
grid87,+Inf,4.889534,0.469563,5.359097,17715,17627,66850,66850,0
grid75,+Inf,8.425866,1.316352,9.742218,23385,23279,90835,90835,0
grid95,+Inf,6.758832,0.299095,7.057927,15753,15669,58116,58116,0
grid80,+Inf,7.859760,1.102784,8.962544,19565,19471,74984,74984,0
grid91,+Inf,5.411190,0.831694,6.242884,15415,15341,56930,56930,0
grid90,+Inf,12.700879,1.313898,14.014777,23243,23115,87923,87923,0
grid77,+Inf,7.841314,0.680727,8.522041,23461,23361,91487,91487,0
grid86,+Inf,12.641017,1.244983,13.886000,25151,25023,95948,95948,0
grid96,+Inf,4.495588,0.677555,5.173143,13425,13361,49711,49711,0
grid44,+Inf,14.746049,0.931524,15.677573,23021,22911,88157,88157,0
grid99,+Inf,3.907464,0.519606,4.427070,13591,13527,50349,50349,0
grid92,+Inf,8.369594,0.495806,8.865400,16431,16353,61821,61821,0
grid89,7.629073,4.711774,2.304554,7.016328,16195,16109,60217,60217,0
grid97,+Inf,4.191885,0.267229,4.459114,11889,11833,43128,43128,0
metroplex0,+Inf,16.416415,0.358344,16.774759,13879,13767,49917,49917,0
metroplex25,+Inf,4.441601,0.162323,4.603924,5917,5873,19513,19513,0
grid9,+Inf,8.954420,0.819536,9.773956,18091,18003,68538,68538,0
grid7,+Inf,10.738823,0.512857,11.251680,25197,25071,97087,97087,0
metroplex14,+Inf,4.689670,0.307987,4.997657,9229,9169,32755,32755,0
metroplex23,+Inf,5.519771,0.705715,6.225486,13159,13059,47726,47726,0
metroplex13,+Inf,6.475115,0.385672,6.860787,10499,10415,37224,37224,0
grid98,+Inf,16.072394,0.661707,16.734101,24501,24383,94011,94011,0
grid79,4.989976,17.379907,8.521444,25.901351,23701,23579,90302,90302,0
metroplex15,+Inf,3.295740,0.352466,3.648206,8493,8431,28559,28559,0
metroplex27,+Inf,9.588821,0.628393,10.217214,11613,11529,41872,41872,0
grid66,4.031354,13.095419,5.913698,19.009117,23697,23575,90132,90132,0
metroplex34,+Inf,7.869617,0.423054,8.292671,10809,10723,38484,38484,0
metroplex12,+Inf,16.701417,0.546369,17.247786,20347,20209,76204,76204,0
metroplex2,+Inf,5.540205,0.782137,6.322342,11571,11487,40139,40139,0
metroplex38,2.947368,4.608433,0.862307,5.470740,8003,7941,26942,26942,0
grid94,2.578947,16.123213,7.122894,23.246107,23735,23613,90362,90362,0
metroplex40,+Inf,4.105649,0.314270,4.419919,9017,8955,31424,31424,0
metroplex10,14.586466,12.345248,6.429142,18.774390,17653,17533,67097,67097,0
metroplex30,+Inf,12.515900,0.429156,12.945056,21975,21835,85214,85214,0
metroplex20,+Inf,10.231106,0.900055,11.131161,16997,16881,62991,62991,0
metroplex31,1.578947,10.781060,3.965639,14.746699,13817,13711,50359,50359,0
grid93,+Inf,9.844669,1.334563,11.179232,20739,20637,79008,79008,0
metroplex28,+Inf,4.579613,0.152714,4.732327,8579,8515,29035,29035,0
metroplex16,+Inf,15.408995,0.355678,15.764673,13435,13333,48559,48559,0
metroplex26,+Inf,5.869719,0.495596,6.365315,9631,9571,33432,33432,0
grid83,4.408754,9.921356,12.779452,22.700808,24371,24245,93651,93651,0
metroplex39,1.705551,17.160860,4.195261,21.356121,16299,16195,60539,60539,0
metroplex37,2.210526,15.534966,6.583203,22.118169,18169,18053,67706,67706,0
metroplex18,5.025063,7.908970,1.581594,9.490564,13253,13171,48167,48167,0
metroplex47,3.608626,5.149235,0.930332,6.079567,9005,8939,31837,31837,0
metroplex24,+Inf,10.285832,0.507081,10.792913,19147,19027,71170,71170,0
metroplex29,+Inf,15.756726,0.600948,16.357674,18189,18073,67458,67458,0
metroplex17,+Inf,7.676071,0.817536,8.493607,15355,15263,58298,58298,0
metroplex11,+Inf,11.513500,0.424066,11.937566,15941,15831,59387,59387,0
metroplex43,+Inf,3.375812,0.207907,3.583719,8337,8261,28310,28310,0
metroplex45,+Inf,10.211959,0.236745,10.448704,12157,12079,43882,43882,0
metroplex32,6.606554,9.729670,2.546720,12.276390,10189,10107,36362,36362,0
metroplex4,+Inf,4.354318,0.195593,4.549911,10431,10357,36694,36694,0
metroplex44,3.244303,10.191979,5.565083,15.757062,12559,12459,45448,45448,0
metroplex56,3.684211,7.635928,0.988315,8.624243,10327,10259,36337,36337,0
metroplex5,9.062657,7.607255,6.935841,14.543096,13353,13253,48068,48068,0
metroplex57,6.482515,8.127917,1.269092,9.397009,10079,10005,35015,35015,0
metroplex51,+Inf,11.577682,0.715283,12.292965,17703,17587,65570,65570,0
metroplex59,+Inf,3.612923,0.705727,4.318650,7625,7569,25696,25696,0
metroplex3,4.802005,14.972952,5.897858,20.870810,20989,20845,77846,77846,0
metroplex42,1.263158,13.121397,3.068544,16.189941,15789,15665,56755,56755,0
metroplex64,+Inf,4.610193,0.257844,4.868037,10401,10313,36291,36291,0
metroplex67,2.701529,3.005809,0.800768,3.806577,7673,7611,25817,25817,0
metroplex61,+Inf,8.529582,0.532031,9.061613,13525,13421,48905,48905,0
metroplex41,+Inf,17.124473,0.608935,17.733408,21045,20911,79537,79537,0
metroplex69,5.096074,4.509017,0.641453,5.150470,9503,9443,33557,33557,0
metroplex68,+Inf,7.538260,0.281174,7.819434,9693,9627,34561,34561,0
metroplex53,+Inf,10.030367,0.842229,10.872596,17631,17521,65042,65042,0
metroplex63,+Inf,14.041092,0.483248,14.524340,17691,17573,66339,66339,0
metroplex70,3.000000,9.284568,2.523917,11.808485,13371,13265,47607,47607,0
metroplex65,+Inf,6.028028,0.342154,6.370182,9605,9541,32758,32758,0
metroplex71,+Inf,11.318963,0.454574,11.773537,17565,17431,66426,66426,0
metroplex21,+Inf,3.403600,0.167679,3.571279,8009,7939,26534,26534,0
metroplex33,6.997494,6.989703,7.232709,14.222412,16483,16367,59445,59445,0
metroplex83,2.701492,9.947916,4.447484,14.395400,18853,18719,69927,69927,0
metroplex66,+Inf,11.910980,0.838465,12.749445,18635,18495,68225,68225,0
metroplex54,+Inf,11.516487,1.014305,12.530792,21377,21231,79349,79349,0
metroplex73,+Inf,5.534153,0.300209,5.834362,11589,11513,41545,41545,0
metroplex22,20.528745,4.575638,5.055582,9.631220,16683,16573,62268,62268,0
metroplex88,+Inf,6.324835,0.464810,6.789645,14655,14567,54579,54579,0
metroplex62,2.157895,10.162871,5.202407,15.365278,19969,19843,75888,75888,0
metroplex93,+Inf,3.722139,0.285141,4.007280,14119,14019,52000,52000,0
metroplex86,+Inf,8.093877,0.311794,8.405671,17341,17219,64081,64081,0
metroplex89,+Inf,4.523276,0.340652,4.863928,13017,12929,46969,46969,0
metroplex97,+Inf,1.498480,0.177970,1.676450,7931,7875,27134,27134,0
metroplex98,+Inf,6.523328,0.333367,6.856695,17149,17025,63492,63492,0
metroplex9,+Inf,5.150306,0.205660,5.355966,12897,12807,46687,46687,0
metroplex58,+Inf,7.841662,0.347104,8.188766,18287,18179,69104,69104,0
metroplex99,+Inf,3.822324,0.223695,4.046019,11129,11053,39817,39817,0
metroplex84,+Inf,4.749283,0.236848,4.986131,11969,11881,42041,42041,0
metroplex74,2.473684,2.837090,0.849419,3.686509,9203,9145,32699,32699,0
metroplex81,+Inf,4.980119,0.308178,5.288297,11959,11871,42217,42217,0
metroplex91,6.071989,2.870716,1.808541,4.679257,11751,11675,42282,42282,0
metroplex92,+Inf,3.693922,0.206947,3.900869,10199,10135,36061,36061,0
metroplex1,8.669896,6.271022,3.580825,9.851847,16749,16639,62050,62050,0
metroplex80,5.938140,6.361265,2.119850,8.481115,14451,14341,51840,51840,0
metroplex8,2.631579,4.929210,1.573794,6.503004,11741,11653,41290,41290,0
metroplex75,+Inf,6.563342,0.351445,6.914787,14151,14047,50909,50909,0
metroplex95,+Inf,5.491018,0.209512,5.700530,13255,13159,47458,47458,0
metroplex7,7.027000,7.355716,3.789023,11.144739,16915,16795,62620,62620,0
metroplex94,10.874687,4.060807,5.894753,9.955560,19723,19585,73484,73484,0
metroplex82,26.055138,2.780206,9.910370,12.690576,14841,14729,54371,54371,0
