instance,resultFixed,elapsedTimeFixed,totalSolveTimeFixed,totalTimeFixed,nvarsFixed,snvarsFixed,nconsFixed,snconsFixed,reduceTini
airport1,0.263158,1.113302,1.488010,2.601312,12624,12568,44236,44236,2
airport25,4.428571,1.094839,3.016330,4.111169,12472,12400,43700,43700,2
airport16,1.786967,1.346574,2.824478,4.171052,12880,12822,45767,45767,2
airport10,3.010025,1.215393,2.499491,3.714884,14230,14170,51428,51428,2
airport12,2001.105263,1.382594,2.519014,3.901608,16756,16682,61383,61383,2
airport17,2001.105263,1.511343,2.504924,4.016267,12718,12656,44572,44572,2
airport20,2.776942,0.814784,3.359334,4.174118,13700,13618,48190,48190,2
airport74,1002.293233,1.484366,2.590517,4.074883,14220,14150,50896,50896,0
airport49,1.263158,1.156481,1.737794,2.894275,13318,13258,47123,47123,1
airport4,1001.157895,1.109553,0.985381,2.094934,13664,13604,48926,48926,1
airport47,1.684211,1.102219,1.852586,2.954805,14770,14714,54623,54623,1
airport73,0.761905,1.228048,2.560246,3.788294,13794,13724,48369,48369,0
airport46,1.105263,1.293938,2.414939,3.708877,15858,15780,57081,57081,1
airport45,1.200501,1.227086,1.970717,3.197803,13096,13022,45685,45685,1
airport48,1.894737,0.935894,2.141248,3.077142,14684,14634,55263,55263,1
airport77,3.260652,1.310065,2.433354,3.743419,13362,13294,48463,48463,0
airport55,4000.842105,0.668217,1.303660,1.971877,11198,11150,39450,39450,1
airport82,1.681704,0.809804,2.228384,3.038188,12498,12428,44128,44128,0
airport51,1.526316,1.158462,0.848532,2.006994,13068,13014,46561,46561,1
airport76,1001.681704,1.130524,2.694718,3.825242,13346,13278,47226,47226,0
airport29,1001.210526,1.503441,1.081343,2.584784,14384,14332,52976,52976,2
airport80,1.734336,0.778728,2.306262,3.084990,11710,11642,40938,40938,0
airport84,1.157895,0.746045,2.474677,3.220722,13632,13572,48918,48918,0
airport52,1.578947,0.940849,2.057273,2.998122,11756,11704,41066,41066,1
airport2,1001.210526,1.031213,1.236372,2.267585,12934,12878,45893,45893,2
airport78,2002.428571,1.658559,2.086754,3.745313,13774,13710,49454,49454,0
airport53,0.832080,1.251676,1.999296,3.250972,14170,14110,51199,51199,1
airport30,1001.263158,0.956144,1.095579,2.051723,12374,12322,43803,43803,2
airport7,1001.105263,1.151192,1.747457,2.898649,11800,11734,41261,41261,0
airport81,1.105263,0.760603,2.669795,3.430398,11374,11316,39866,39866,0
airport79,1.681704,0.783947,2.366444,3.150391,16424,16360,61768,61768,0
airport86,1.681704,0.846792,1.474555,2.321347,12372,12316,44618,44618,0
airport56,1001.105263,1.139629,1.102263,2.241892,15112,15042,54314,54314,1
airport54,2001.105263,0.912355,2.580389,3.492744,12164,12100,42648,42648,1
airport70,1.872180,1.403822,5.497616,6.901438,17278,17200,64999,64999,0
airport58,2001.105263,0.845799,1.774768,2.620567,12170,12106,42767,42767,1
airport32,1001.105263,1.457529,0.846654,2.304183,12732,12672,44740,44740,2
airport85,1000.807018,1.023601,1.977500,3.001101,14458,14398,52069,52069,0
airport57,1001.789474,1.395572,1.059773,2.455345,14698,14638,52707,52707,1
airport61,1001.105263,0.618081,1.373099,1.991180,11758,11702,41210,41210,1
airport87,1.681704,0.738626,2.846594,3.585220,16862,16790,64366,64366,0
airport28,1.105263,1.040147,3.421406,4.461553,13652,13580,48570,48570,2
airport50,1.105263,1.215950,3.353721,4.569671,15794,15712,56957,56957,1
airport34,1.681704,0.694462,2.840365,3.534827,14140,14088,51991,51991,2
airport62,1001.315789,0.686207,0.849154,1.535361,13092,13042,47445,47445,1
airport83,1.894737,0.866798,1.654112,2.520910,12060,12012,43122,43122,0
airport43,1001.157895,0.683500,1.121714,1.805214,12660,12610,45158,45158,2
airport91,1001.473684,0.924504,1.350009,2.274513,11838,11788,41962,41962,0
airport88,3000.000000,0.842912,1.497597,2.340509,14106,14036,50362,50362,0
airport40,1.157895,0.898592,0.981675,1.880267,13324,13266,47868,47868,2
airport42,1001.368421,1.052817,1.519750,2.572567,11514,11460,40035,40035,2
airport5,1.681704,0.719838,1.440034,2.159872,12550,12486,44367,44367,1
airport33,2001.105263,1.279019,2.250854,3.529873,14924,14848,53326,53326,2
airport31,1.681704,0.971006,2.141425,3.112431,12556,12488,44342,44342,2
airport90,1002.015038,0.776827,2.112586,2.889413,12940,12874,45178,45178,0
airport8,2001.210526,1.445257,1.070527,2.515784,14104,14038,50256,50256,0
airport39,1.210526,1.586579,1.533822,3.120401,15116,15056,55047,55047,2
airport35,1.438596,1.226933,1.839711,3.066644,14982,14928,55389,55389,2
airport3,1001.210526,0.797157,1.389020,2.186177,13584,13528,48645,48645,2
airport66,1001.789474,1.125287,1.149061,2.274348,12628,12572,44687,44687,1
airport37,0.333333,1.125252,1.658675,2.783927,13164,13094,46092,46092,2
airport38,1.105263,1.268827,2.346672,3.615499,12000,11938,41655,41655,2
airport68,1001.315789,0.910424,0.916144,1.826568,13626,13566,48562,48562,1
airport97,1001.315789,0.752396,0.814863,1.567259,12928,12880,48057,48057,0
airport44,1001.105263,1.655482,1.321747,2.977229,11620,11562,39968,39968,2
airport60,1.105263,1.097047,3.291692,4.388739,14690,14614,53207,53207,1
airport63,1001.681704,0.849167,1.911922,2.761089,11232,11172,38709,38709,1
airport45,1.200501,0.803926,1.692391,2.496317,13108,13034,45703,45703,2
airport59,1001.681704,1.137531,2.814521,3.952052,12896,12818,44993,44993,1
airport65,1001.105263,0.953054,2.016624,2.969678,16492,16416,60365,60365,1
airport36,1.105263,1.038859,2.588564,3.627423,13750,13682,49054,49054,2
airport67,1002.629073,0.804975,1.780555,2.585530,13338,13286,48351,48351,1
