instance,resultFixed,elapsedTimeFixed,totalSolveTimeFixed,totalTimeFixed,nvarsFixed,snvarsFixed,nconsFixed,snconsFixed,reduceTini
grid89,7.260652,11.395351,16.512081,27.907432,22178,21440,93063,93063,2
grid79,4.989976,11.542967,20.177135,31.720102,25562,25357,103407,103407,2
grid86,+Inf,16.195498,1.747486,17.942984,31593,30745,136078,136078,2
grid84,+Inf,5.863326,5.169719,11.033045,24847,23614,105435,105435,2
grid96,+Inf,7.306885,1.355563,8.662448,14877,14756,58671,58671,2
grid91,+Inf,6.441988,2.980625,9.422613,21157,20434,88058,88058,2
grid95,+Inf,11.194136,0.785481,11.979617,21533,20805,89665,89665,2
grid90,+Inf,25.863009,1.546153,27.409162,26821,26381,111929,111929,2
grid7,+Inf,20.274346,5.765257,26.039603,31713,30878,137596,137596,2
grid77,+Inf,19.038677,7.055848,26.094525,29655,28841,128829,128829,2
grid97,+Inf,7.420317,1.184190,8.604507,17003,16332,69546,69546,2
metroplex95,+Inf,9.387386,1.428674,10.816060,23753,21730,95971,95971,1
grid88,+Inf,9.745017,32.214614,41.959631,33689,30895,139531,139531,2
metroplex0,+Inf,10.521164,3.153430,13.674594,21895,20551,91291,91291,2
grid66,3.715565,11.965702,73.568781,85.534483,32547,31197,139859,139859,2
grid9,+Inf,14.089279,0.892954,14.982233,20073,19916,81068,81068,2
grid92,+Inf,11.003697,3.864273,14.867970,24433,23192,102827,102827,2
grid99,+Inf,6.652416,15.157731,21.810147,26653,24013,105732,105732,2
metroplex13,+Inf,8.984231,1.889863,10.874094,16006,15255,65068,65068,2
metroplex14,+Inf,4.328494,2.469052,6.797546,15939,14767,61962,61962,2
metroplex12,+Inf,21.420283,2.591612,24.011895,22326,22097,89432,89432,2
grid98,+Inf,17.516246,25.854670,43.370916,31050,30240,135234,135234,2
metroplex90,3.221053,20.100651,3.471135,23.571786,18313,18195,68540,68540,1
grid93,+Inf,7.799211,4.632653,12.431864,27085,26296,116162,116162,2
grid83,4.514017,16.950831,54.703438,71.654269,30215,29403,130191,130191,2
metroplex21,+Inf,3.954699,0.606101,4.560800,13023,12316,50140,50140,2
metroplex15,+Inf,3.645752,2.575611,6.221363,16145,14899,62164,62164,2
metroplex75,+Inf,23.535288,1.154691,24.689979,15965,15783,62613,62613,1
metroplex23,+Inf,16.960054,2.146127,19.106181,21263,19942,89508,89508,2
metroplex25,+Inf,3.228655,0.854136,4.082791,12835,11672,45332,45332,2
metroplex17,+Inf,18.422254,11.593432,30.015686,18437,18051,77919,77919,2
metroplex72,1.578947,7.459698,9.691744,17.151442,12382,12254,48556,48556,0
metroplex2,+Inf,7.524162,2.174539,9.698701,17180,16435,68873,68873,2
metroplex18,5.025063,11.078893,29.445983,40.524876,16959,16577,69419,69419,2
metroplex34,+Inf,7.448566,0.615962,8.064528,12406,12258,47849,47849,2
metroplex10,14.533835,13.457363,39.004689,52.462052,19111,18908,77822,77822,2
metroplex20,+Inf,16.665058,32.223646,48.888704,38229,33107,145892,145892,2
metroplex30,+Inf,16.539506,1.544864,18.084370,26265,25780,114319,114319,2
metroplex27,+Inf,20.985664,1.260326,22.245990,19647,18355,80189,80189,2
grid94,2.691729,15.790361,30.106616,45.896977,27427,26993,115053,115053,2
metroplex38,2.210526,5.817612,7.625186,13.442798,9367,9252,34610,34610,2
metroplex16,+Inf,6.338922,9.960425,16.299347,23938,21889,96763,96763,2
metroplex40,+Inf,4.431028,0.708121,5.139149,10558,10441,40353,40353,2
metroplex29,+Inf,10.692026,3.325042,14.017068,19903,19704,79673,79673,2
metroplex47,3.844799,5.090973,1.003847,6.094820,9079,9013,31948,31948,2
metroplex39,2.586900,14.561760,2.852091,17.413851,16393,16289,60680,60680,2
metroplex28,+Inf,6.680681,1.236103,7.916784,16225,15010,61436,61436,2
metroplex37,2.947368,14.152032,8.439832,22.591864,18263,18147,67847,67847,2
metroplex44,2.560093,7.719510,20.804709,28.524219,15927,15527,65579,65579,2
metroplex56,4.315789,8.199455,4.137098,12.336553,11992,11863,46196,46196,2
metroplex4,+Inf,7.891993,0.613993,8.505986,12048,11915,46543,46543,2
metroplex90,2.789474,23.713695,5.517373,29.231068,18263,18145,68465,68465,0
metroplex26,+Inf,6.752979,4.624139,11.377118,14348,13645,55610,55610,2
metroplex43,+Inf,14.829994,0.504606,15.334600,9880,9747,37093,37093,2
metroplex3,4.275689,23.913694,34.963858,58.877552,25059,24577,104401,104401,2
metroplex24,+Inf,12.082200,0.695294,12.777494,22717,22274,95138,95138,2
metroplex45,+Inf,11.162694,6.722986,17.885680,28859,25004,108492,108492,2
metroplex65,+Inf,4.517399,2.458017,6.975416,25564,21746,88089,88089,2
metroplex42,2.526316,14.949826,6.390158,21.339984,15869,15745,56875,56875,2
metroplex51,+Inf,11.308077,6.770516,18.078593,32937,29942,135934,135934,2
metroplex67,2.912056,5.504988,6.459562,11.964550,10865,10531,42087,42087,2
metroplex59,+Inf,6.350259,1.061560,7.411819,12327,11660,47231,47231,2
metroplex5,8.799499,12.459822,17.023838,29.483660,13435,13335,48191,48191,2
metroplex82,26.423559,13.933733,320.740347,334.674080,20212,19403,83970,83970,1
metroplex41,+Inf,18.169268,1.424142,19.593410,27410,26539,118501,118501,2
metroplex72,1.789474,8.765559,4.869086,13.634645,12436,12308,48637,48637,1
metroplex64,+Inf,6.289085,1.941170,8.230255,11761,11611,44967,44967,2
metroplex57,6.271989,6.231693,16.107196,22.338889,13483,13128,53606,53606,2
metroplex61,+Inf,9.985217,5.438372,15.423589,17163,16755,70388,70388,2
metroplex31,10.585366,12.598730,82.778364,95.377094,19407,18626,80303,80303,2
metroplex54,+Inf,25.571061,0.813925,26.384986,25491,25001,106564,106564,2
metroplex33,8.050125,9.780614,32.692036,42.472650,20435,20001,83342,83342,2
metroplex11,+Inf,15.729256,1.634733,17.363989,21990,21178,94078,94078,2
metroplex68,+Inf,10.976660,1.170530,12.147190,15007,14297,61304,61304,2
metroplex69,4.706596,7.098636,16.523631,23.622267,12687,12359,51395,51395,2
metroplex62,2.894737,17.806350,7.671477,25.477827,20049,19923,76008,76008,2
metroplex63,+Inf,14.738514,0.669764,15.408278,21665,21218,91764,91764,2
metroplex70,2.842565,16.398570,7.398373,23.796943,15076,14897,58464,58464,2
metroplex58,+Inf,14.820883,1.417989,16.238872,30573,28468,132595,132595,2
metroplex71,+Inf,17.802793,11.561104,29.363897,29152,27020,125018,125018,2
metroplex66,+Inf,20.333254,5.727174,26.060428,20561,20331,81354,81354,2
metroplex32,7.343396,5.965507,43.539683,49.505190,11490,11348,44475,44475,2
metroplex72,1.684211,5.411814,5.416392,10.828206,12490,12362,48718,48718,2
metroplex73,+Inf,6.115640,6.584559,12.700199,22149,20176,88285,88285,2
metroplex22,21.634008,15.632443,85.892757,101.525200,23110,22268,98763,98763,2
metroplex83,1.964650,16.978248,4.241860,21.220108,18943,18809,70062,70062,2
metroplex1,5.433971,15.649197,167.822144,183.471341,27424,25342,115237,115237,2
metroplex88,+Inf,10.430931,9.307507,19.738438,20695,19914,88193,88193,2
metroplex55,6.001938,9.321849,99.217258,108.539107,26151,25269,112960,112960,2
metroplex93,+Inf,5.591438,4.686235,10.277673,17501,17105,72926,72926,2
metroplex98,+Inf,11.274825,1.221545,12.496370,25505,24091,108847,108847,2
metroplex7,8.322947,19.688221,12.120671,31.808892,18653,18449,74173,74173,2
metroplex99,+Inf,7.324258,0.427549,7.751807,14343,13989,58218,58218,2
metroplex86,+Inf,11.413867,2.587880,14.001747,28798,26682,122666,122666,2
metroplex97,+Inf,3.603776,0.229527,3.833303,9380,9276,35281,35281,2
metroplex89,+Inf,11.913964,20.889055,32.803019,18756,18002,77835,77835,2
metroplex92,+Inf,6.760588,0.354300,7.114888,11637,11515,44999,44999,2
metroplex9,+Inf,10.165099,4.958482,15.123581,20411,19142,82962,82962,2
metroplex46,+Inf,9.495040,0.804559,10.299599,20442,19640,86603,86603,0
metroplex91,7.650937,8.056139,21.471838,29.527977,14941,14581,60838,60838,2
metroplex84,+Inf,6.932576,1.396789,8.329365,17117,16358,69234,69234,2
metroplex46,+Inf,5.128108,0.821386,5.949494,20548,19746,86758,86758,2
metroplex74,1.947368,5.971967,1.397245,7.369212,9299,9241,32843,32843,2
metroplex80,5.684551,11.843796,57.655330,69.499126,20354,19515,85455,85455,2
metroplex75,+Inf,8.352587,0.409109,8.761696,16019,15837,62694,62694,2
metroplex81,+Inf,10.167260,5.561107,15.728367,17647,16878,72974,72974,2
metroplex8,2.263158,5.437910,2.126008,7.563918,11839,11751,41437,41437,2
metroplex95,+Inf,6.465205,1.654683,8.119888,23801,21778,96035,96035,2
metroplex94,11.243108,10.325459,48.114124,58.439583,23571,23097,98931,98931,2
metroplex82,27.002506,10.334914,116.306547,126.641461,20254,19445,84033,84033,2
metroplex90,3.105263,3.759858,2.869014,6.628872,18363,18245,68615,68615,2
metroplex53,12.662387,21.119623,327.423052,348.542675,38997,33829,151810,151810,2
