instance,result,elapsedTime,totalSolveTime,totalTime,nvars,snvars,ncons,sncons,reduceTini
airport46,1.105263,0.952205,1.329592,2.281797,18562,18253,59307,59307,1
airport30,1001.263158,0.717964,0.515649,1.233613,12374,12322,35901,35901,2
airport32,1001.105263,0.747109,0.509061,1.256170,12732,12672,37042,37042,2
airport51,1.526316,0.797282,0.527825,1.325107,15008,14727,46991,46991,1
airport69,3.260652,0.647787,0.832093,1.479880,12192,12136,35777,35777,0
airport68,1001.421053,1.467073,0.542024,2.009097,13596,13536,39671,39671,0
airport71,2.007519,0.641155,0.729968,1.371123,13836,13568,42874,42874,0
airport6,1.842105,0.913193,1.017361,1.930554,18636,18348,60848,60848,0
airport31,1.681704,0.682840,1.293408,1.976248,12556,12488,37052,37052,2
airport52,1.578947,0.719250,0.780811,1.500061,13930,13660,43453,43453,1
airport72,1.421053,0.640475,0.585646,1.226121,13684,13415,42546,42546,0
airport34,1.681704,0.700293,1.271211,1.971504,14140,14088,42951,42951,2
airport35,1.438596,0.748255,0.909195,1.657450,16532,16253,52663,52663,2
airport50,1.105263,0.960295,1.593397,2.553692,18086,17773,57463,57463,1
airport37,0.333333,0.848453,0.709803,1.558256,13164,13094,37748,37748,2
airport36,1.105263,0.803630,0.888073,1.691703,16302,16013,51448,51448,2
airport53,0.832080,0.819240,0.722078,1.541318,14170,14110,42253,42253,1
airport75,1001.157895,0.794669,0.492248,1.286917,12318,12260,35504,35504,0
airport33,2001.105263,1.311301,1.281195,2.592496,17194,16886,54407,54407,2
airport41,3.260652,0.466067,0.784653,1.250720,9797,9717,28893,28893,2
airport3,1001.210526,0.797470,0.715851,1.513321,13584,13528,40193,40193,2
airport56,1001.105263,0.877433,0.668543,1.545976,15112,15042,45284,45284,1
airport70,1.872180,0.762478,1.981950,2.744428,17278,17200,53989,53989,0
airport73,0.761905,0.890333,1.138631,2.028964,13794,13724,40101,40101,0
airport38,1.105263,0.705046,1.087551,1.792597,14482,14201,45074,45074,2
airport54,2001.105263,0.656686,1.111592,1.768278,14188,13908,44026,44026,1
airport39,1.210526,0.914154,0.808639,1.722793,16944,16658,53701,53701,2
airport55,4000.842105,0.727684,1.039245,1.766929,12507,12420,38081,38081,1
airport40,1.157895,0.689950,0.864898,1.554848,15340,15066,48669,48669,2
airport57,1001.789474,0.945703,0.637479,1.583182,14698,14638,43401,43401,1
airport42,1001.368421,0.706457,0.534445,1.240902,11514,11460,33271,33271,2
airport76,1001.681704,0.756749,1.065841,1.822590,15830,15539,49902,49902,0
airport74,1002.293233,0.850277,1.187287,2.037564,16462,16165,51579,51579,0
airport58,2001.105263,0.649917,0.853115,1.503032,14266,13984,44265,44265,1
airport43,1001.157895,0.728238,0.646084,1.374322,12660,12610,37390,37390,2
airport77,3.260652,0.638082,1.164852,1.802934,13362,13294,40397,40397,0
airport44,1001.105263,0.716046,0.503380,1.219426,11620,11562,33178,33178,2
airport5,1.681704,0.728159,0.989724,1.717883,12550,12486,36437,36437,1
airport61,1001.105263,0.612846,0.488851,1.101697,11758,11702,34398,34398,1
airport62,1001.315789,0.759732,0.484226,1.243958,13092,13042,39083,39083,1
